course,learning objectives,keywords_str
FEPC Bosnia,Explain how to enter and leave a premises suspected of FMD in a biosecure manner; ,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
FEPC Bosnia,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected/confirmed; ,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected/confirmed, ;"
FEPC Bosnia,"Describe the clinical signs of FMD in cattle, small ruminants, and pigs; ","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, ,, pigs, ;"
FEPC Bosnia,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
FEPC Bosnia,Describe how to age FMD lesions; ,"Describe, age, FMD, lesions, ;"
FEPC Calgary 2,Explain the pathogenesis of FMD; ,"Explain, pathogenesis, FMD, ;"
FEPC Calgary 2,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis; ,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
FEPC Calgary 2,Explain how to enter and leave a premises suspected of FMD in a biosecure manner; ,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
FEPC Calgary 2,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected/confirmed; ,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected/confirmed, ;"
FEPC Calgary 2,"Describe the clinical signs of FMD in cattle, small ruminants, and pigs; ","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, ,, pigs, ;"
FEPC Calgary 2,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
FEPC Calgary 2,Describe how to age FMD lesions; ,"Describe, age, FMD, lesions, ;"
FEPC Canada 3,Explain the pathogenesis of FMD; ,"Explain, pathogenesis, FMD, ;"
FEPC Canada 3,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis; ,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
FEPC Canada 3,Explain how to enter and leave a premises suspected of FMD in a biosecure manner; ,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
FEPC Canada 3,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected/confirmed; ,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected/confirmed, ;"
FEPC Canada 3,"Describe the clinical signs of FMD in cattle, small ruminants, and pigs;  ","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, ,, pigs, ;"
FEPC Canada 3,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
FEPC Canada 3,Describe how to age FMD lesions; ,"Describe, age, FMD, lesions, ;"
FEPC EN12,Explain the pathogenesis of FMD; ,"Explain, pathogenesis, FMD, ;"
FEPC EN12,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis; ,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
FEPC EN12,Explain how to enter and leave a premises suspected of FMD in a biosecure manner; ,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
FEPC EN12,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected/confirmed; ,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected/confirmed, ;"
FEPC EN12,"Describe the clinical signs of FMD in cattle, small ruminants, and pigs; ","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, ,, pigs, ;"
FEPC EN12,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
FEPC EN12,Describe how to age FMD lesions; ,"Describe, age, FMD, lesions, ;"
FEPC EN13,Explain the pathogenesis of FMD; ,"Explain, pathogenesis, FMD, ;"
FEPC EN13,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis; ,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
FEPC EN13,Explain how to enter and leave a premises suspected of FMD in a biosecure manner; ,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
FEPC EN13,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected/confirmed; ,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected/confirmed, ;"
FEPC EN13,"Describe the clinical signs of FMD in cattle, small ruminants, and pigs; ","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, ,, pigs, ;"
FEPC EN13,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
FEPC EN13,Describe how to age FMD lesions;  ,"Describe, age, FMD, lesions, ;"
FITC Algeria,Visit farms where FMD is suspected or confirmed while respecting biosecurity measures.,"Visit, farms, FMD, suspected, confirmed, respecting, biosecurity, measures, ."
FITC Algeria,Understand how vaccines could be used as a prevention and control measure;,"Understand, vaccines, could, used, prevention, control, measure, ;"
FITC Algeria,Recognize FMD clinical signs; ,"Recognize, FMD, clinical, signs, ;"
FITC Algeria,Perform a thorough clinical examination of an animal suspected of having FMD;,"Perform, thorough, clinical, examination, animal, suspected, FMD, ;"
FITC Algeria,Know the main characteristics of FMD vaccines;,"Know, main, characteristics, FMD, vaccines, ;"
FITC Algeria,Know how FMD lesions age and understand their epidemiological and diagnostic importance;,"Know, FMD, lesions, age, understand, epidemiological, diagnostic, importance, ;"
FITC Algeria,Identify main risk factors for virus spread;,"Identify, main, risk, factors, virus, spread, ;"
FITC Algeria,Explain which samples should be collected to enable laboratory diagnosis of FMD,"Explain, samples, collected, enable, laboratory, diagnosis, FMD"
FITC Algeria,Explain the pathogenesis of FMD;  ,"Explain, pathogenesis, FMD, ;"
FITC Algeria,Explain how to enter and exit an infected site in a way that minimizes the risk of disease spread;,"Explain, enter, exit, infected, site, way, minimizes, risk, disease, spread, ;"
FITC Algeria,Describe the basic principles of biosafety;,"Describe, basic, principles, biosafety, ;"
FITC Algeria,Describe the available diagnostic tools for detecting FMD;,"Describe, available, diagnostic, tools, detecting, FMD, ;"
FITC Indonesia,Outline the key features of the Progressive Control Pathway for FMD Control (PCP-FMD),"Outline, key, features, Progressive, Control, Pathway, FMD, Control, (, PCP-FMD, )"
FITC Indonesia,Explain which samples should be collected to enable laboratory diagnosis of FMD,"Explain, samples, collected, enable, laboratory, diagnosis, FMD"
FITC Indonesia,Explain the pathogenesis of FMD,"Explain, pathogenesis, FMD"
FITC Indonesia,Explain the key requirements for a successful vaccination programme for FMD,"Explain, key, requirements, successful, vaccination, programme, FMD"
FITC Indonesia,Explain how to enter and leave a premises suspected of FMD in a biosecure manner,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner"
FITC Indonesia,"Explain how to diagnose FMD in cattle, small ruminants and pigs","Explain, diagnose, FMD, cattle, ,, small, ruminants, pigs"
FITC Indonesia,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected"
FITC Indonesia,Describe how to age FMD lesions,"Describe, age, FMD, lesions"
FITC Tunisia,Visit farms where FMD is suspected or confirmed while respecting biosecurity measures.,"Visit, farms, FMD, suspected, confirmed, respecting, biosecurity, measures, ."
FITC Tunisia,Understand how vaccines could be used as a prevention and control measure;,"Understand, vaccines, could, used, prevention, control, measure, ;"
FITC Tunisia,Recognize FMD clinical signs; ,"Recognize, FMD, clinical, signs, ;"
FITC Tunisia,Perform a thorough clinical examination of an animal suspected of having FMD;,"Perform, thorough, clinical, examination, animal, suspected, FMD, ;"
FITC Tunisia,Know the main characteristics of FMD vaccines;,"Know, main, characteristics, FMD, vaccines, ;"
FITC Tunisia,Know how FMD lesions age and understand their epidemiological and diagnostic importance;,"Know, FMD, lesions, age, understand, epidemiological, diagnostic, importance, ;"
FITC Tunisia,Identify main risk factors for virus spread;,"Identify, main, risk, factors, virus, spread, ;"
FITC Tunisia,Explain which samples should be collected to enable laboratory diagnosis of FMD,"Explain, samples, collected, enable, laboratory, diagnosis, FMD"
FITC Tunisia,Explain the pathogenesis of FMD;  ,"Explain, pathogenesis, FMD, ;"
FITC Tunisia,Explain how to enter and exit an infected site in a way that minimizes the risk of disease spread;,"Explain, enter, exit, infected, site, way, minimizes, risk, disease, spread, ;"
FITC Tunisia,Describe the basic principles of biosafety;,"Describe, basic, principles, biosafety, ;"
FITC Tunisia,Describe the available diagnostic tools for detecting FMD;,"Describe, available, diagnostic, tools, detecting, FMD, ;"
FITC Turkiye 2022,Outline the key features of the Progressive Control Pathway for FMD Control (PCP-FMD).,"Outline, key, features, Progressive, Control, Pathway, FMD, Control, (, PCP-FMD, ), ."
FITC Turkiye 2022,Explain which samples should be collected to enable laboratory diagnosis of FMD;,"Explain, samples, collected, enable, laboratory, diagnosis, FMD, ;"
FITC Turkiye 2022,Explain the pathogenesis of FMD; ,"Explain, pathogenesis, FMD, ;"
FITC Turkiye 2022,Explain the key requirements for a successful vaccination programme for FMD;,"Explain, key, requirements, successful, vaccination, programme, FMD, ;"
FITC Turkiye 2022,Explain how to enter and leave a premises suspected of FMD in a biosecure manner; ,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
FITC Turkiye 2022,"Explain how to diagnose FMD in cattle, small ruminants and pigs;","Explain, diagnose, FMD, cattle, ,, small, ruminants, pigs, ;"
FITC Turkiye 2022,Explain how to conduct an epidemiological investigation on a premises where FMD is confirmed/suspected;,"Explain, conduct, epidemiological, investigation, premises, FMD, confirmed/suspected, ;"
FITC Turkiye 2022,Describe how to age FMD lesions; ,"Describe, age, FMD, lesions, ;"
FITC WCA NA,Outline the key features of the Progressive Control Pathway for FMD Control (PCP-FMD),"Outline, key, features, Progressive, Control, Pathway, FMD, Control, (, PCP-FMD, )"
FITC WCA NA,Explain which samples should be collected to enable laboratory diagnosis of FMD,"Explain, samples, collected, enable, laboratory, diagnosis, FMD"
FITC WCA NA,Explain the pathogenesis of FMD; ,"Explain, pathogenesis, FMD, ;"
FITC WCA NA,Explain the key requirements for a successful vaccination programme for FMD,"Explain, key, requirements, successful, vaccination, programme, FMD"
FITC WCA NA,Explain how to enter and leave a premises suspected of FMD in a biosecure manner,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner"
FITC WCA NA,"Explain how to diagnose FMD in cattle, small ruminants and pigs","Explain, diagnose, FMD, cattle, ,, small, ruminants, pigs"
FITC WCA NA,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected"
FITC WCA NA,Describe how to age FMD lesions; ,"Describe, age, FMD, lesions, ;"
FLITC4,Understand the importance and basic principles of laboratory Quality Assurance;,"Understand, importance, basic, principles, laboratory, Quality, Assurance, ;"
FLITC4,Submit appropriate samples to reference laboratories,"Submit, appropriate, samples, reference, laboratories"
FLITC4,"Select appropriate diagnostic tests to detect FMD virus and FMD virus-specific antibodies, and interpret the results of these tests;","Select, appropriate, diagnostic, tests, detect, FMD, virus, FMD, virus-specific, antibodies, ,, interpret, results, tests, ;"
FLITC4,Outline techniques for further characterization of FMD virus including genomic sequencing and vaccine matching tests;,"Outline, techniques, characterization, FMD, virus, including, genomic, sequencing, vaccine, matching, tests, ;"
FLITC4,"Interact with field staff and guide them in collection and submission of appropriate, quality diagnostic samples;","Interact, field, staff, guide, collection, submission, appropriate, ,, quality, diagnostic, samples, ;"
FLITC4,Explain the key principles of biosecurity and biosafety measures to be carried out in an FMD laboratory.,"Explain, key, principles, biosecurity, biosafety, measures, carried, FMD, laboratory, ."
FLITC4,Describe the principles of accurate virus detection test methods and assays used for serology;,"Describe, principles, accurate, virus, detection, test, methods, assays, used, serology, ;"
Hybrid RTT pilot,Take samples to permit laboratory confirmation of disease; ,"Take, samples, permit, laboratory, confirmation, disease, ;"
Hybrid RTT pilot,Submit samples to the laboratory; ,"Submit, samples, laboratory, ;"
Hybrid RTT pilot,Outline FMD emergency response options available in the scenario provide. ,"Outline, FMD, emergency, response, options, available, scenario, provide, ."
Hybrid RTT pilot,Interpret laboratory results following submission of suspect FMD samples to the laboratory; ,"Interpret, laboratory, results, following, submission, suspect, FMD, samples, laboratory, ;"
Hybrid RTT pilot,Identify clinical signs of FMD,"Identify, clinical, signs, FMD"
Hybrid RTT pilot,Estimate lesion ages; ,"Estimate, lesion, ages, ;"
Hybrid RTT pilot,Document clinical findings; ,"Document, clinical, findings, ;"
Hybrid RTT pilot,Design and construct an investigation using the principles of outbreak investigation; ,"Design, construct, investigation, using, principles, outbreak, investigation, ;"
Hybrid RTT pilot,Construct an epidemiological timeline for backwards and forwards tracing; ,"Construct, epidemiological, timeline, backwards, forwards, tracing, ;"
Hybrid RTT pilot,Assess risk factors for FMD spread and appraisal of farm biosecurity; ,"Assess, risk, factors, FMD, spread, appraisal, farm, biosecurity, ;"
Hybrid RTT pilot,Apply the principles of biosecurity when entering/exiting FMD infected premises; ,"Apply, principles, biosecurity, entering/exiting, FMD, infected, premises, ;"
LSD Lab TPI,Summarize the advantages and disadvantages of available control measures for LSD;,"Summarize, advantages, disadvantages, available, control, measures, LSD, ;"
LSD Lab TPI,Explain the main consideration in the implementation of vaccination programmes to control LSD.,"Explain, main, consideration, implementation, vaccination, programmes, control, LSD, ."
LSD Lab TPI,Explain main serological and virological diagnostic test for LSD;,"Explain, main, serological, virological, diagnostic, test, LSD, ;"
LSD Lab TPI,Explain how to design surveillance programmes for LSD;,"Explain, design, surveillance, programmes, LSD, ;"
LSD Lab TPI,Explain how to conduct an epidemiological investigation on a premises suspected of LSD;,"Explain, conduct, epidemiological, investigation, premises, suspected, LSD, ;"
LSD Lab TPI,Explain how to collect and handle samples to enable laboratory diagnosis of LSD;,"Explain, collect, handle, samples, enable, laboratory, diagnosis, LSD, ;"
LSD Lab TPI,Describe the global significance of LSD,"Describe, global, significance, LSD"
LSD Lab TPI,Describe the clinical signs of LSD;,"Describe, clinical, signs, LSD, ;"
LSD Lab TPI,Describe key epidemiological features of LSD to include risk factors and routes of transmission;,"Describe, key, epidemiological, features, LSD, include, risk, factors, routes, transmission, ;"
LSD laboratory training at Pirbright ,Summarize the advantages and disadvantages of available control measures for LSD;,"Summarize, advantages, disadvantages, available, control, measures, LSD, ;"
LSD laboratory training at Pirbright ,Explain the main consideration in the implementation of vaccination programmes to control LSD.,"Explain, main, consideration, implementation, vaccination, programmes, control, LSD, ."
LSD laboratory training at Pirbright ,Explain main serological and virological diagnostic test for LSD;,"Explain, main, serological, virological, diagnostic, test, LSD, ;"
LSD laboratory training at Pirbright ,Explain how to design surveillance programmes for LSD;,"Explain, design, surveillance, programmes, LSD, ;"
LSD laboratory training at Pirbright ,Explain how to conduct an epidemiological investigation on a premises suspected of LSD;,"Explain, conduct, epidemiological, investigation, premises, suspected, LSD, ;"
LSD laboratory training at Pirbright ,Explain how to collect and handle samples to enable laboratory diagnosis of LSD;,"Explain, collect, handle, samples, enable, laboratory, diagnosis, LSD, ;"
LSD laboratory training at Pirbright ,Describe the global significance of LSD,"Describe, global, significance, LSD"
LSD laboratory training at Pirbright ,Describe the clinical signs of LSD;,"Describe, clinical, signs, LSD, ;"
LSD laboratory training at Pirbright ,Describe key epidemiological features of LSD to include risk factors and routes of transmission;,"Describe, key, epidemiological, features, LSD, include, risk, factors, routes, transmission, ;"
LSD multicountry,Summarize the advantages and disadvantages of available control measures for LSD;,"Summarize, advantages, disadvantages, available, control, measures, LSD, ;"
LSD multicountry,Explain the main consideration in the implementation of vaccination programmes to control LSD.,"Explain, main, consideration, implementation, vaccination, programmes, control, LSD, ."
LSD multicountry,Explain main serological and virological diagnostic test for LSD;,"Explain, main, serological, virological, diagnostic, test, LSD, ;"
LSD multicountry,Explain how to design surveillance programmes for LSD; ,"Explain, design, surveillance, programmes, LSD, ;"
LSD multicountry,Explain how to conduct an epidemiological investigation on a premises suspected of LSD;,"Explain, conduct, epidemiological, investigation, premises, suspected, LSD, ;"
LSD multicountry,Explain how to collect and handle samples to enable laboratory diagnosis of LSD;,"Explain, collect, handle, samples, enable, laboratory, diagnosis, LSD, ;"
LSD multicountry,Describe the global significance of LSD;  ,"Describe, global, significance, LSD, ;"
LSD multicountry,Describe the clinical signs of LSD; ,"Describe, clinical, signs, LSD, ;"
LSD multicountry,Describe key epidemiological features of LSD to include risk factors and routes of transmission;,"Describe, key, epidemiological, features, LSD, include, risk, factors, routes, transmission, ;"
LSD VLC EA,Summarize the advantages and disadvantages of available control measures for LSD;,"Summarize, advantages, disadvantages, available, control, measures, LSD, ;"
LSD VLC EA,Explain the main consideration in the implementation of vaccination programmes to control LSD.,"Explain, main, consideration, implementation, vaccination, programmes, control, LSD, ."
LSD VLC EA,Explain main serological and virological diagnostic test for LSD; ,"Explain, main, serological, virological, diagnostic, test, LSD, ;"
LSD VLC EA,Explain how to design surveillance programmes for LSD;,"Explain, design, surveillance, programmes, LSD, ;"
LSD VLC EA,Explain how to conduct an epidemiological investigation on a premises suspected of LSD;,"Explain, conduct, epidemiological, investigation, premises, suspected, LSD, ;"
LSD VLC EA,Explain how to collect and handle samples to enable laboratory diagnosis of LSD;,"Explain, collect, handle, samples, enable, laboratory, diagnosis, LSD, ;"
LSD VLC EA,Describe the global significance of LSD;  ,"Describe, global, significance, LSD, ;"
LSD VLC EA,Describe the clinical signs of LSD; ,"Describe, clinical, signs, LSD, ;"
LSD VLC EA,Describe key epidemiological features of LSD to include risk factors and routes of transmission;,"Describe, key, epidemiological, features, LSD, include, risk, factors, routes, transmission, ;"
NTC30,Take samples to permit laboratory confirmation of disease; ,"Take, samples, permit, laboratory, confirmation, disease, ;"
NTC30,Submit samples to the laboratory; ,"Submit, samples, laboratory, ;"
NTC30,Outline FMD emergency response options available in the scenario provided.,"Outline, FMD, emergency, response, options, available, scenario, provided, ."
NTC30,Interpret laboratory results following submission of suspect FMD samples to the laboratory; ,"Interpret, laboratory, results, following, submission, suspect, FMD, samples, laboratory, ;"
NTC30,Identify clinical signs of FMD; ,"Identify, clinical, signs, FMD, ;"
NTC30,Estimate lesion ages; ,"Estimate, lesion, ages, ;"
NTC30,Document clinical findings; ,"Document, clinical, findings, ;"
NTC30,Design and construct an investigation using the principles of outbreak investigation; ,"Design, construct, investigation, using, principles, outbreak, investigation, ;"
NTC30,Demonstrate principles of biosecurity when entering/exiting FMD infected premises; ,"Demonstrate, principles, biosecurity, entering/exiting, FMD, infected, premises, ;"
NTC30,Construct an epidemiological timeline for backwards and forwards tracing; ,"Construct, epidemiological, timeline, backwards, forwards, tracing, ;"
NTC30,Assess risk factors for FMD spread and appraisal of farm biosecurity; ,"Assess, risk, factors, FMD, spread, appraisal, farm, biosecurity, ;"
RAVC4,Map value chains in order to identify disease transmission risks and control options;,"Map, value, chains, order, identify, disease, transmission, risks, control, options, ;"
RAVC4,Appraise the expected impact and feasibility of candidate control options;,"Appraise, expected, impact, feasibility, candidate, control, options, ;"
RAVC4,Apply what you have learned to the development of a Risk-Based control plans.,"Apply, learned, development, Risk-Based, control, plans, ."
RAVC4,Apply the key concepts and principles of risk analysis to identify risk hotspots for FAST entry and spread;,"Apply, key, concepts, principles, risk, analysis, identify, risk, hotspots, FAST, entry, spread, ;"
RTC1,Explain the pathogenesis of FMD.,"Explain, pathogenesis, FMD, ."
RTC1,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis.,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ."
RTC1,Explain how to enter and leave a premises suspected of FMD in a biosecure manner.,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ."
RTC1,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected.,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected, ."
RTC1,"Describe the clinical signs of FMD in cattle, small ruminants and pigs.","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ."
RTC1,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
RTC1,Describe how to age FMD lesions.,"Describe, age, FMD, lesions, ."
Simex workshop PI 2022,Plan the scenario documents; ,"Plan, scenario, documents, ;"
Simex workshop PI 2022,Plan the evaluation of a small tabletop exercise or drill. ,"Plan, evaluation, small, tabletop, exercise, drill, ."
Simex workshop PI 2022,"Explain the importance of simulation exercises for improving emergency preparedness, and the purposes for which they can be used; ","Explain, importance, simulation, exercises, improving, emergency, preparedness, ,, purposes, used, ;"
Simex workshop PI 2022,Explain how to conduct a small tabletop exercise or drill;  ,"Explain, conduct, small, tabletop, exercise, drill, ;"
Simex workshop PI 2022,Draft a concept note for an exercise; ,"Draft, concept, note, exercise, ;"
Simex workshop PI 2022,Develop a needs-based exercise plan; including drafting the exercise aim and objectives and defining the scope of the exercise; ,"Develop, needs-based, exercise, plan, ;, including, drafting, exercise, aim, objectives, defining, scope, exercise, ;"
vRTT Texas AM 3,Undertake rapid assessments for risk factors (and/or biosecurity practices) for FMD cases at farm level; ,"Undertake, rapid, assessments, risk, factors, (, and/or, biosecurity, practices, ), FMD, cases, farm, level, ;"
vRTT Texas AM 3,Understand the principles of biosecurity and their application to personnel entering into FMD infected premises;,"Understand, principles, biosecurity, application, personnel, entering, FMD, infected, premises, ;"
vRTT Texas AM 3,"Understand the epidemiology of FMD, including risk factors for transmission, mechanisms of disease spread, construction of timelines and forward and backward tracing; ","Understand, epidemiology, FMD, ,, including, risk, factors, transmission, ,, mechanisms, disease, spread, ,, construction, timelines, forward, backward, tracing, ;"
vRTT Texas AM 3,"Take appropriate samples to permit laboratory confirmation of disease, and submit them to the laboratory appropriately; ","Take, appropriate, samples, permit, laboratory, confirmation, disease, ,, submit, laboratory, appropriately, ;"
vRTT Texas AM 3,"Recognize the clinical signs of FMD, based on first-hand field experience of clinical cases;","Recognize, clinical, signs, FMD, ,, based, first-hand, field, experience, clinical, cases, ;"
vRTT Texas AM 3,Outline FMD emergency preparedness activities and disease response options available in their country; ,"Outline, FMD, emergency, preparedness, activities, disease, response, options, available, country, ;"
vRTT Texas AM 3,Interpret laboratory results following submission of suspect FMD samples to the laboratory; ,"Interpret, laboratory, results, following, submission, suspect, FMD, samples, laboratory, ;"
vRTT Texas AM 3,Estimate lesion ages and take appropriate clinical records; ,"Estimate, lesion, ages, take, appropriate, clinical, records, ;"
vRTT Texas AM 3,"Describe the global distribution, significance and impacts of FMD, and the risks and consequences of an FMD outbreak; ","Describe, global, distribution, ,, significance, impacts, FMD, ,, risks, consequences, FMD, outbreak, ;"
vRTT Texas AM 3,Better conduct training or awareness raising activities with the aim of increasing awareness of the signs of FMD and of risks for the livestock industry.,"Better, conduct, training, awareness, raising, activities, aim, increasing, awareness, signs, FMD, risks, livestock, industry, ."
vRTT Texas AM 3,"Apply epidemiological principles to on-farm and in-field investigations, including design of investigation forms; ","Apply, epidemiological, principles, on-farm, in-field, investigations, ,, including, design, investigation, forms, ;"
Wildlife surveillance 2022,Use appropriate biosecurity measures when handling a suspected case of FMD and other TADs in wild boar; ,"Use, appropriate, biosecurity, measures, handling, suspected, case, FMD, TADs, wild, boar, ;"
Wildlife surveillance 2022,Summarise the measures to be implemented in case of a FAST disease outbreak in wildlife in the European Union (EU) and other countries that have experienced FAST disease outbreaks; ,"Summarise, measures, implemented, case, FAST, disease, outbreak, wildlife, European, Union, (, EU, ), countries, experienced, FAST, disease, outbreaks, ;"
Wildlife surveillance 2022,Provide examples of the impact of FAST diseases in wildlife; ,"Provide, examples, impact, FAST, diseases, wildlife, ;"
Wildlife surveillance 2022,Explain and apply principles of epidemiological surveillance of FAST diseases in wildlife; ,"Explain, apply, principles, epidemiological, surveillance, FAST, diseases, wildlife, ;"
Wildlife surveillance 2022,Describe the role of wildlife in FAST disease transmission;  ,"Describe, role, wildlife, FAST, disease, transmission, ;"
Wildlife surveillance 2022,Collect appropriate samples in case of suspecting FMD and other TADs in wild boar. ,"Collect, appropriate, samples, case, suspecting, FMD, TADs, wild, boar, ."
Wildlife surveillance 2022,Assess the feasibility of implementing invasive and non-invasive sampling techniques for the surveillance of FMD and other TADs in wild boar; ,"Assess, feasibility, implementing, invasive, non-invasive, sampling, techniques, surveillance, FMD, TADs, wild, boar, ;"
DDCD - from theory to practice 2,recall the legal framework and its main requirements for disposal of carcasses and contaminated waste; ,"recall, legal, framework, main, requirements, disposal, carcasses, contaminated, waste, ;"
DDCD - from theory to practice 2,recall the legal and practical considerations and challenges faced to implement cleaning and disinfection. ,"recall, legal, practical, considerations, challenges, faced, implement, cleaning, disinfection, ."
DDCD - from theory to practice 2,"list the different methods and equipment allowed by European Union legislation, to cull cattle, small ruminants and pigs; ","list, different, methods, equipment, allowed, European, Union, legislation, ,, cull, cattle, ,, small, ruminants, pigs, ;"
DDCD - from theory to practice 2,list the different legal methods available for disposal of carcasses; ,"list, different, legal, methods, available, disposal, carcasses, ;"
DDCD - from theory to practice 2,explain the implications of ineffective carcass disposal; ,"explain, implications, ineffective, carcass, disposal, ;"
DDCD - from theory to practice 2,"estimate the resources, including human resources, needed for disposal of carcasses;  ","estimate, resources, ,, including, human, resources, ,, needed, disposal, carcasses, ;"
DDCD - from theory to practice 2,"estimate the resources, including human resources, needed for depopulation operations;  ","estimate, resources, ,, including, human, resources, ,, needed, depopulation, operations, ;"
DDCD - from theory to practice 2,describe the principles to be considered for cleaning and disinfection of an infected farm; ,"describe, principles, considered, cleaning, disinfection, infected, farm, ;"
DDCD - from theory to practice 2,describe the different considerations to be taken when deciding upon methods for the disposal of carcasses; ,"describe, different, considerations, taken, deciding, upon, methods, disposal, carcasses, ;"
DDCD - from theory to practice 2,describe animal welfare and biosecurity aspects that the humane killing operations of domestic species susceptible to FAST diseases should comprise;  ,"describe, animal, welfare, biosecurity, aspects, humane, killing, operations, domestic, species, susceptible, FAST, diseases, comprise, ;"
FAST DCM DPAPP 2,"summarize the ethics theories (contractualism, utilitarianism, relational, animal rights and respect for nature);  ","summarize, ethics, theories, (, contractualism, ,, utilitarianism, ,, relational, ,, animal, rights, respect, nature, ), ;"
FAST DCM DPAPP 2,"select appropriate communication techniques to carry out an effective epidemiological survey, in a compassionate manner, considering the stress the farmers may be experiencing;  ","select, appropriate, communication, techniques, carry, effective, epidemiological, survey, ,, compassionate, manner, ,, considering, stress, farmers, may, experiencing, ;"
FAST DCM DPAPP 2,reflect on ethical dilemmas and conflicts;  ,"reflect, ethical, dilemmas, conflicts, ;"
FAST DCM DPAPP 2,"identify personal mental health needs, and interpret mental health needs in other people;  ","identify, personal, mental, health, needs, ,, interpret, mental, health, needs, people, ;"
FAST DCM DPAPP 2,"identify good practices on mental health, resilience and communication to be included in the contingency plans, and other relevant procedures, at national level. ","identify, good, practices, mental, health, ,, resilience, communication, included, contingency, plans, ,, relevant, procedures, ,, national, level, ."
FAST DCM DPAPP 2,assess tools to manage stress and anxiety and build resilience;  ,"assess, tools, manage, stress, anxiety, build, resilience, ;"
FAST DCM DPAPP 2,"assess the effectiveness of crisis communication approaches to be used when interacting with different stakeholders, including the farmer, the media and considering the use of the social networks; ","assess, effectiveness, crisis, communication, approaches, used, interacting, different, stakeholders, ,, including, farmer, ,, media, considering, use, social, networks, ;"
FEPC Calgary 3,explain the pathogenesis of FMD;,"explain, pathogenesis, FMD, ;"
FEPC Calgary 3,explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
FEPC Calgary 3,explain how to enter and leave a premises suspected of FMD in a biosecure manner;,"explain, enter, leave, premises, suspected, FMD, biosecure, manner, ;"
